school,faculty,fields
polimi,"Architettura Urbanistica Ingegneria delle Costruzioni",Engineering and Architecture
polimi,"Design",Engineering and Architecture
polimi,"Ingegneria Civile, Ambientale e Territoriale",Engineering and Architecture
polimi,"Ingegneria Industriale e dell'Informazione",Engineering and Architecture
polito,"Dipartimento di Architettura e Design",Engineering and Architecture
polito,"Department of Architecture and Design",Engineering and Architecture
polito,"Dipartimento di Ingegneria Meccanica e Aerospaziale",Engineering and Architecture
polito,"Department of Mechanical and Aerospace Engineering",Engineering and Architecture
polito,"Dipartimento di Automatica e Informatica",Engineering and Architecture
polito,"Department of Control and Computer Engineering",Engineering and Architecture
polito,"Dipartimento di Ingegneria Gestionale e della Produzione",Engineering and Architecture
polito,"Department of Management and Production Engineering",Engineering and Architecture
polito,"Dipartimento Energia",Engineering and Architecture
polito,"Department of Energy",Engineering and Architecture
polito,"Dipartimento di Elettronica e Telecomunicazioni",Engineering and Architecture
polito,"Department of Electronics and Telecommunications",Engineering and Architecture
polito,"Interuniversity Department of Regional and Urban Studies and Planning",Engineering and Architecture
polito,"Dipartimento Interateneo di Scienze, Progetto e Politiche del Territorio",Engineering and Architecture
polito,"Dipartimento Scienza Applicata e Tecnologia",Engineering and Architecture
polito,"Department of Applied Science and Technology",Engineering and Architecture
polito,"Dipartimento di Ingegneria dell'Ambiente, del Territorio e delle Infrastrutture",Engineering and Architecture
polito,"Department of Environment, Land and Infrastructure Engineering",Engineering and Architecture
polito,"Dipartimento di Scienze Matematiche 'G. L. Lagrange'",Engineering and Architecture
polito,"Dipartimento di Ingegneria Strutturale, Edile e Geotecnica",Engineering and Architecture
polito,"Department of Structural, Geotechnical and Building Engineering",Engineering and Architecture
unibo,"Economia e management",Economics and Management
unibo,"Farmacia e biotecnologie",Medicine and Healthcare
unibo,"Giurisprudenza",Law
unibo,"Ingegneria e architettura",Engineering and Architecture
unibo,"Lingue e Letterature, Traduzione e Interpretazione",Humanities and Social Sciences
unibo,"Medicina e Chirurgia",Medicine and Healthcare
unibo,"Medicina veterinaria",Veterinary
unibo,"Psicologia",Medicine and Healthcare
unibo,"Scienze",Sciences
unibo,"Scienze Statistiche",Sciences
unibo,"Scienze agro-alimentari",Sciences
unibo,"Scienze dell'educazione e della formazione",Humanities and Social Sciences
unibo,"Scienze motorie",Medicine and Healthcare
unibo,"Scienze politiche",Humanities and Social Sciences
unibo,"Sociologia",Humanities and Social Sciences
unibo,"Studi umanistici",Humanities and Social Sciences
unica,"Biologia E Farmacia",Medicine and Healthcare
unica,"Ingegneria E Architettura",Engineering and Architecture
unica,"Medicina E Chirurgia",Medicine and Healthcare
unica,"Scienze",Sciences
unica,"Scienze Economiche, Giuridiche E Politiche",Humanities and Social Sciences
unica,"Studi Umanistici",Humanities and Social Sciences
unict,"Dipartimento di Chirurgia generale e specialità medico-chirurgiche",Medicine and Healthcare
unict,"SDS di Ragusa",Humanities and Social Sciences
unict,"Dipartimento di Scienze Umanistiche",Humanities and Social Sciences
unict,"Dipartimento di Scienze Politiche e Sociali",Humanities and Social Sciences
unict,"Dipartimento di Scienze Mediche, Chirurgiche e Tecnologie avanzate 'G.F. Ingrassia'",Medicine and Healthcare
unict,"Dipartimento di Scienze della Formazione",Humanities and Social Sciences
unict,"Dipartimento di Scienze Biomediche e Biotecnologiche",Medicine and Healthcare
unict,"Dipartimento di Scienze Biologiche, Geologiche e Ambientali",Sciences
unict,"Dipartimento di Scienze Chimiche",Sciences
unict,"Dipartimento di Medicina clinica e sperimentale",Medicine and Healthcare
unict,"Dipartimento di Matematica e Informatica",Sciences
unict,"Dipartimento di Ingegneria elettrica, elettronica e informatica",Engineering and Architecture
unict,"Dipartimento di Ingegneria civile e architettura",Engineering and Architecture
unict,"Dipartimento di Economia e Impresa",Economics and Management
unict,"Dipartimento di Agricoltura Alimentazione e Ambiente",Sciences
unict,"Dipartimento di Fisica e Astronomia",Sciences
unict,"Dipartimento di Giurisprudenza",Law
unict,"SDS di Siracusa",Humanities and Social Sciences
unict,"Dipartimento di Scienze del Farmaco e della Salute",Medicine and Healthcare
unifi,"Agraria",Sciences
unifi,"Architettura",Engineering and Architecture
unifi,"Economia e Management",Economics and Management
unifi,"Giurisprudenza",Law
unifi,"Ingegneria",Engineering and Architecture
unifi,"Scienze Matematiche, Fisiche e Naturali",Sciences
unifi,"Scienze Politiche “Cesare Alfieri”",Humanities and Social Sciences
unifi,"Scienze della Salute Umana",Medicine and Healthcare
unifi,"Studi Umanistici e della Formazione",Humanities and Social Sciences
unimib,"Economico-Statistica",Sciences
unimib,"Giuridica",Law
unimib,"Medica, Chirurgica e dei Servizi Clinici",Medicine and Healthcare
unimib,"Psicologica",Medicine and Healthcare
unimib,"Scienze",Sciences
unimib,"Scienze della Formazione",Humanities and Social Sciences
unimib,"Sociologica",Humanities and Social Sciences
unipi,"Biologia",Sciences
unipi,"Chimica E Chimica Industriale",Sciences
unipi,"Civilta' E Forme Del Sapere",Humanities and Social Sciences
unipi,"Economia E Management",Economics and Management
unipi,"Farmacia",Medicine and Healthcare
unipi,"Filologia, Letteratura E Linguistica",Humanities and Social Sciences
unipi,"Fisica",Sciences
unipi,"Giurisprudenza",Law
unipi,"Informatica",Engineering and Architecture
unipi,"Ingegneria Civile E Industriale",Engineering and Architecture
unipi,"Ingegneria Dell'Energia, Dei Sistemi, Del Territorio E Delle Costruzioni",Engineering and Architecture
unipi,"Ingegneria Dell'Informazione",Engineering and Architecture
unipi,"Matematica",Sciences
unipi,"Medicina Clinica E Sperimentale",Medicine and Healthcare
unipi,"Patologia Chirurgica, Medica, Molecolare E Dell'Area Critica",Medicine and Healthcare
unipi,"Ricerca Traslazionale E Delle Nuove Tecnologie In Medicina E Chirurgia",Medicine and Healthcare
unipi,"Scienze Agrarie, Alimentari E Agro-Ambientali",Sciences
unipi,"Scienze Della Terra",Sciences
unipi,"Scienze Politiche",Humanities and Social Sciences
unipi,"Scienze Veterinarie",Veterinary
uniroma1,"Architettura",Engineering and Architecture
uniroma1,"Economia",Economics and Management
uniroma1,"Farmacia e Medicina",Medicine and Healthcare
uniroma1,"Giurisprudenza",Law
uniroma1,"Ingegneria civile e industriale",Engineering and Architecture
uniroma1,"Ingegneria dell'informazione, informatica e statistica",Engineering and Architecture
uniroma1,"Lettere e Filosofia",Humanities and Social Sciences
uniroma1,"Medicina e Odontoiatria",Medicine and Healthcare
uniroma1,"Medicina e Psicologia",Medicine and Healthcare
uniroma1,"Scienze Matematiche, Fisiche e Naturali",Sciences
uniroma1,"Scienze Politiche, Sociologia, Comunicazione",Humanities and Social Sciences
unisa,"Dipartimento Di Chimica E Biologia 'Adolfo Zambelli'",Sciences
unisa,"Dipartimento Di Farmacia",Medicine and Healthcare
unisa,"Dipartimento Di Fisica 'E.R. Caianiello'",Sciences
unisa,"Dipartimento Di Informatica",Engineering and Architecture
unisa,"Dipartimento Di Ingegneria Civile",Engineering and Architecture
unisa,"Dipartimento Di Ingegneria Industriale",Engineering and Architecture
unisa,"Dipartimento Di Ingegneria Dell'Informazione Ed Elettrica E Matematica Applicata",Engineering and Architecture
unisa,"Dipartimento Di Matematica",Sciences
unisa,"Dipartimento Di Medicina, Chirurgia E Odontoiatria 'Scuola Medica Salernitana'",Medicine and Healthcare
unisa,"Dipartimento Di Scienze Aziendali - Management & Innovation Systems",Economics and Management
unisa,"Dipartimento Di Scienze Economiche E Statistiche",Economics and Management
unisa,"Dipartimento Di Scienze Giuridiche (Scuola Di Giurisprudenza)",Law
unisa,"Dipartimento Di Scienze Politiche E Della Comunicazione",Humanities and Social Sciences
unisa,"Dipartimento Di Scienze Umane, Filosofiche E Della Formazione",Humanities and Social Sciences
unisa,"Dipartimento Di Scienze Del Patrimonio Culturale",Humanities and Social Sciences
unisa,"Dipartimento Di Studi Politici E Sociali",Humanities and Social Sciences
unisa,"Dipartimento Di Studi Umanistici",Humanities and Social Sciences
