patterns,themes
approccio? bioclimatic,['building']
agglomerat(?:o|i) sostenibil,['building']
architettur[^ ]+ bioclimatic,['building']
architettur(?:a|e) sostenibil,['building']
concezion(?:e|i) bioclimatic,['building']
concezion(?:e|i) energ[^ ]+ (?:dell|degli) edifici,['building']
costruzion(?:e|i) sostenibil,['building']
(?:edificio?|cas(?:a|e)) (?:a basso consumo energetico|passiv),['building']
costruzion(?:e|i) a basso consumo energetico,['building']
eco[ -]?costruzion,['building']
espansion(?:e|i) urban,['building']
permess(?:o|i) ambiental,['building']
citta? sostenibil,['building']
"[pianificazion(?:e|i) territorial, (?:ambient|ecosist)]",['building']
"[pianificazion(?:e|i) territorial, sostenib]",['building']
"[risparmio? energetic, edificio]",['building']
"[risparmio? energetic, industria]",['building']
"[prestazion(?:e|i) energetic, edificio]",['building']
"[prestazion(?:e|i) energetic, architettura]",['building']
a bass(?:a|e) emission(?:e|i) di carbonio,['carbon']
bilancio? del carbonio,['carbon']
cattur(?:a|e) (?:del|di) (?:co2|diossido di carbonio),['carbon']
conversion(?:e|i) (?:del|di) (?:co2|diossido di carbonio),['carbon']
cicl(?:o|i) del carbonio,['carbon']
decarbon,['carbon']
emission(?:e|i) (?:del|di) (?:co2|diossido di carbonio),['carbon']
impront(?:a|e) (?:del|di) carbonio,['carbon']
a emissioni zero|neutralita del carbonio,['carbon']
sequestrazion(?:e|i) (?:del|di) (?:co2|diossido di carbonio),['carbon']
stoccaggio(?: del|di) (?:carbonio|co2|diossido di carbonio),['carbon']
valorizzazion(?:e|i) (?:del|di) (?:co2|diossido di carbonio),['carbon']
(?:^|[^a-z])cop ?[0-9]+,['climate']
accord(?:o|i) di parigi(?:(?: sul| per il) clima)?,['climate']
adattament(?:o|i) climatic,['climate']
cambiament(?:o|i) climatic,['climate']
climatolog,['climate']
(?:scettic(?:o|a|he|i) (?:del|sul|di) clima|scetticismo climatico),['climate']
crisi? climatica,['climate']
effetto serra,['climate']
question(?:e|i) climatic,['climate']
glaciolog,['climate']
impatt(?:o|i) climatic,['climate']
instabilita? climatic,['climate']
giustizi(?:a|e) climatic,['climate']
migra[^ ]+ clima,['climate']
model[^ ]+ clima,['climate']
politic(?:a|he) climatic,['climate']
proiez[^ ]+ climay,['climate']
problem(?:a|i) climat,['climate']
riscaldament(?:o|i) (?:del )?clima,['climate']
rifugiat(?:o|i) clima,['climate']
strategi(?:a|e) clima,['climate']
transizi[^ ]+ clima,['climate']
emergenz(?:a|e) clima,['climate']
riscaldament(?:o|i) globale,['climate']
bio[ -]?gas,['energy']
(?:energia elettrica|elettricita) fotovoltaica,['energy']
