id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,6,0,11,3,6,2,0,14,3,1,4,4,5,25
1085,3,0,7,1,6,0,0,10,2,1,2,2,4,15
1159,1,0,1,0,1,0,0,0,0,0,0,0,0,2
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0,1,1,0,1,0,0,1
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,1,0,0,0,2,0,3
474,0,0,0,0,0,0,0,0,0,0,0,1,0,1
503,0,0,0,0,0,0,0,1,1,0,2,0,1,2
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,6,0,8,1,7,7,0,15,4,7,9,0,6,16
489,1,2,7,4,9,0,0,19,8,1,10,3,8,23
1086,2,0,0,0,2,0,0,2,0,0,0,0,1,4
1095,12,1,5,1,11,1,0,6,4,3,2,0,8,17
1217,6,1,3,1,4,0,0,7,1,0,0,0,1,11
1017,3,0,0,0,0,0,0,0,0,1,0,0,3,3
1144,3,1,3,0,3,1,0,1,0,0,0,0,2,4
1195,9,0,2,2,9,0,0,13,1,1,3,0,0,20
1142,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,1,0,3,1,3,0,0,11,1,0,5,0,3,16
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1097,0,0,1,1,0,0,0,1,1,0,1,0,0,3
1260,1,0,0,0,1,0,0,1,0,1,1,0,0,2
1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,0,0,0,0,1,0,0,1,0,0,0,0,0,1
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,3,0,2,0,4,0,0,5,0,0,0,0,0,10
1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,1,0,1,0,1,0,0,2,1,0,1,2,1,4
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,0,0,0,0,1,0,0,1,0,0,1,0,0,1
485,0,0,1,1,2,0,0,3,1,1,3,1,2,7
478,0,0,1,0,4,0,0,0,3,6,3,0,1,6
1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,2,0,1,0,1,0,0,3,0,0,0,0,1,5
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,0,0,0,2,1,0,0,1,1,1,0,0,1,4
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,0,0,0,0,2,0,0,1,1,0,0,1,1,3
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,1,0,0,0,0,0,1
483,0,1,1,4,8,0,0,13,5,2,12,8,4,27
475,0,1,0,0,11,0,0,1,0,0,0,3,3,13
477,2,5,7,1,21,0,0,12,12,3,5,5,16,32
472,0,0,0,0,0,0,0,2,0,0,0,1,0,2
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,2,2,5,2,0,4,5,1,0,2,4,8
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,1,0,0,0,0,0,0,0,0,1
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,3,2,4,6,6,0,0,9,5,0,1,2,7,18
352,0,0,0,0,1,0,0,0,0,0,0,0,0,1
