id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
computer-engineering-bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architettura-bac,4,0,1,1,2,0,0,3,0,2,0,0,1,9
ingegneria-informatica-bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegneria-gestionale-bac,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ingegneria-fisica-bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegneria-energetica-bac,0,1,0,0,5,0,0,2,2,0,1,0,3,5
tecnologie-per-l-industria-manifatturiera-bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegneria-elettronica-bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pianificazione-territoriale-urbanistica-e-paesaggistico-bac,2,0,0,0,1,0,0,1,0,0,0,0,0,3
quantum-engineering-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urban-and-regional-planning-master,0,0,1,0,0,0,0,1,0,0,0,0,1,2
pianificazione-urbanistica-e-territoriale-master,0,0,1,0,0,0,0,1,0,0,0,0,1,2
territorial-urban-environmental-and-landscape-planning-master,4,1,3,1,4,0,0,7,3,0,2,0,4,8
pianificazione-territoriale-urbanistica-e-paesaggistico-master,4,1,3,1,4,0,0,7,3,0,2,0,4,8
physics-of-complex-systems-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics-of-complex-systems-fisica-dei-sistemi-complessi-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanotechnologies-for-icts-nanotecnologie-per-le-ict-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mechatronic-engineering-ingegneria-meccatronica-master,0,0,0,0,0,0,0,0,1,0,0,1,0,2
environmental-and-land-engineering-master,1,1,7,2,5,0,0,13,8,1,6,1,11,18
ingegneria-per-l-ambiente-e-il-territorio-master,1,1,7,2,5,0,0,13,8,1,6,1,11,18
mechanical-engineering-master,0,0,1,0,1,0,0,4,2,0,0,3,0,7
ingegneria-meccanica-master,0,0,1,0,1,0,0,4,2,0,0,3,0,7
ingegneria-matematica-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegneria-informatica-computer-engineering-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engineering-and-management-master,0,1,1,1,1,0,0,1,0,1,2,0,2,2
computer-engineering-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy-and-nuclear-engineering-master,3,3,4,0,14,0,0,7,2,2,2,4,7,17
ingegneria-gestionale-master,0,1,1,1,1,0,0,1,0,1,2,0,2,2
ingegneria-energetica-e-nucleare-master,3,3,4,0,14,0,0,7,2,2,2,4,7,17
electronic-engineering-master,0,0,0,0,0,0,0,0,2,0,0,0,0,2
ingegneria-elettronica-electronic-engineering-master,0,0,0,0,0,0,0,0,2,0,0,0,0,2
ingegneria-elettrica-master,0,1,1,0,4,0,0,1,0,0,0,3,3,6
building-engineering-master,3,0,3,1,3,0,0,3,1,0,0,0,5,7
ingegneria-edile-master,3,0,3,1,3,0,0,3,1,0,0,0,5,7
ingegneria-della-produzione-industriale-e-dell-innovazione-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingegneria-del-cinema-e-dei-mezzi-di-comunicazione-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
materials-engineering-for-industry-40-master,2,0,0,1,2,0,0,1,1,5,5,0,2,6
ingegneria-dei-materiali-per-l-industria-40-master,2,0,0,1,2,0,0,1,1,5,5,0,2,6
ingegneria-chimica-e-dei-processi-sostenibili-master,0,0,0,0,2,0,0,1,2,1,1,1,0,4
ingegneria-biomedica-master,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ingegneria-aerospaziale-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ict-for-smart-societies-ict-per-la-societa-del-futuro-master,0,0,0,0,2,0,0,1,0,0,0,2,0,3
georesources-and-geoenergy-engineering-master,1,1,2,2,5,0,0,7,4,1,4,0,3,10
digital-skills-for-sustainable-societal-transitions-master,2,2,1,1,2,0,0,1,1,0,0,2,3,5
design-sistemico-master,1,0,0,0,3,0,0,2,0,1,0,0,0,4
data-science-and-engineering-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cybersecurity-master,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ingegneria-civile-master,0,0,2,0,0,0,0,1,0,0,1,0,0,2
communications-engineering-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automotive-engineering-ingegneria-dell-autoveicolo-master,0,0,0,0,1,0,0,0,2,0,0,3,1,3
civil-engineering-0-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architecture-for-sustainability-master,6,2,7,1,8,0,0,11,5,1,5,0,5,12
architettura-per-la-sostenibilita-master,6,2,7,1,8,0,0,11,5,1,5,0,5,12
architecture-for-heritage-master,0,0,0,0,2,0,0,1,1,0,0,0,0,2
