id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
5696-93597,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93598,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93599,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93596,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93594,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-65303,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93630,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-24501,0,0,1,0,0,0,0,1,1,0,0,0,1
0962-00996,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11379,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93634,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93633,0,0,0,0,0,0,0,0,1,0,0,0,0
5696-93614,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-93615,0,0,0,0,0,0,0,0,0,0,0,0,0
5696-08846,0,0,0,0,0,0,0,0,0,0,0,0,0
9240-94133,0,0,1,0,0,0,0,1,0,0,0,0,1
0962-01009,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00932,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00929,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00345,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00393,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00388,0,0,1,0,0,0,0,0,0,0,0,0,0
0962-00399,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00961,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11597,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27311,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12986,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93260,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-44281,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12870,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-75831,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27168,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-44132,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-98940,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-09223,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-07080,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00983,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00562,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00986,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-00995,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93261,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93258,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-98938,0,0,0,0,0,0,0,1,0,0,0,0,0
0962-90397,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93270,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11462,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-74895,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13328,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13282,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-66954,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12755,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-87751,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-75830,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-75829,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-72403,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27563,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12544,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93294,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93295,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-92674,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11965,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-94769,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13338,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-04385,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-75834,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-05760,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-18123,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13723,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13710,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27309,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12105,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11292,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-72412,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-11440,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13492,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-10588,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12998,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13157,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-14437,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93320,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-58505,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-90013,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13467,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-81749,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93325,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-72417,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-93329,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13724,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-14371,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-10814,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-39584,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12967,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27269,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13753,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12894,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-27276,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12852,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13722,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-13275,0,0,0,0,0,0,0,0,0,0,0,0,0
0962-12324,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90493,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90542,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90492,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90529,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90807,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90528,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90543,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90540,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-96864,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-73408,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-03079,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90450,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-90451,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-75073,0,0,1,0,0,0,0,0,0,0,0,0,0
8786-87649,0,0,1,0,0,0,0,0,0,0,0,0,1
8786-75074,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-75086,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-B3846,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-87648,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-99670,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-75067,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-B0098,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-91732,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-76811,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-96862,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-B3239,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-98412,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-97286,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-94296,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-88911,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-94297,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-96863,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-78774,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-96861,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-98414,0,0,0,0,0,0,0,0,0,0,0,0,0
8786-76222,0,0,0,0,0,0,0,0,0,0,0,0,0
9240-73387,0,0,0,0,0,0,0,0,0,0,0,0,0
9240-81799,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-82186,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00534,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-82187,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00256,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-78214,0,0,0,0,0,0,0,1,0,0,0,0,0
8890-11483,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-30588,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-08540,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-95723,0,0,0,0,0,0,0,1,0,0,0,0,0
8890-79000,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-30600,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00915,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-57802,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-91188,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00230,0,0,1,0,0,0,0,0,0,0,0,0,0
8890-07173,0,0,1,0,0,0,0,1,0,0,0,0,1
8890-23440,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-79035,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00211,0,0,1,0,0,0,0,0,0,0,0,0,0
8890-03568,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-56611,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-79036,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-74785,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-74778,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-74776,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00932,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-00995,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-74786,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-93744,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-02644,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-15349,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-94356,0,0,1,0,0,0,0,0,0,0,0,0,0
8890-00983,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-79038,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-31065,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-31070,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-84863,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-31068,0,0,0,0,0,0,0,0,0,0,0,0,0
8890-67711,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-11483,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-99662,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-99457,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-99665,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-99459,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-99667,0,0,0,0,0,0,0,0,0,0,0,0,0
5912-81945,0,0,0,0,0,0,0,0,0,0,0,0,0
