id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
5910,0,0,0,0,0,0,0,2,0,0,0,0,0,2
0962,0,0,2,1,0,0,0,3,0,0,0,0,0,6
8786-251,0,0,2,0,0,0,0,0,0,0,0,0,1,2
8495,0,0,1,0,0,0,0,4,0,0,0,0,0,5
5912-C43,0,0,0,1,0,0,0,1,0,0,0,0,0,2
5912-C42,0,0,2,1,0,0,0,1,0,0,0,0,1,4
5813,0,0,2,1,0,0,0,5,2,0,3,0,3,5
5711,0,0,3,0,0,0,0,5,0,0,0,0,1,6
8780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8527,0,0,1,0,0,3,0,5,1,0,1,0,0,6
5823,0,0,4,0,0,1,0,14,1,0,1,0,2,16
5831,1,4,2,0,2,9,0,12,1,1,0,0,6,15
8015,0,1,1,0,0,1,0,7,1,0,0,0,0,9
9257-B33,2,1,13,2,3,0,0,17,4,2,2,0,9,23
9257-B32,0,0,3,0,0,0,0,16,0,0,0,0,5,16
8011,0,0,8,1,3,0,0,16,7,0,3,0,10,19
5895,0,0,6,0,0,0,0,4,1,0,0,0,5,6
8537,0,0,4,0,0,0,0,5,4,0,2,0,4,7
8012,1,1,3,1,0,0,0,12,4,0,0,0,6,15
9074-C36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5881,0,0,0,0,2,0,0,0,0,0,0,0,0,2
9074-C35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5827-C16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9246-A98,0,1,1,3,5,1,0,9,9,1,5,1,9,14
8615,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9246-000,0,1,1,4,5,1,0,9,10,1,5,1,9,15
5827-839,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5827-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8614-C17,0,0,0,1,0,0,0,1,0,0,0,0,0,2
8614-000,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5898-A58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9073-B60,1,0,3,2,2,0,0,4,2,1,3,1,3,5
5898-992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9244,0,1,0,0,0,0,0,2,0,0,0,0,0,2
8626,0,1,6,0,0,0,0,4,3,0,0,0,3,10
5704-B96,0,0,1,1,0,0,0,4,0,0,2,0,2,5
8513,0,0,1,0,1,0,0,2,1,0,0,1,2,3
0884,0,0,0,1,0,0,0,3,2,1,1,0,2,4
5704-B95,0,0,3,2,1,0,0,6,1,1,3,0,5,8
5704-B94,0,0,1,1,0,0,0,5,0,0,2,0,2,6
5898-991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5704-B93,0,0,1,1,0,0,0,4,0,0,2,0,2,5
9073-B59,1,0,3,0,1,0,0,9,0,0,0,0,4,12
9073-B58,1,0,3,0,1,0,0,7,1,0,0,0,3,10
8515,0,0,1,0,0,0,0,2,2,0,0,0,1,3
8514,0,0,3,0,4,0,0,5,6,0,1,1,7,11
8006,0,0,1,0,2,0,0,4,3,0,0,0,1,5
9072-708,0,0,1,1,0,0,0,1,0,0,0,0,2,2
5701,0,0,0,4,2,0,0,8,9,3,7,2,4,15
8857,0,0,7,0,0,0,0,20,4,0,2,0,8,20
5824,0,0,5,0,0,0,0,22,1,0,1,0,8,22
9072-707,0,0,1,1,1,0,0,0,1,0,0,1,2,2
8004,0,1,1,0,0,0,0,2,0,0,0,0,1,3
9063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5900-968,0,0,3,0,1,0,0,7,5,0,0,1,3,8
5900-000,1,1,6,0,1,0,0,15,10,0,6,0,16,21
5706,0,0,0,0,0,0,0,1,0,0,1,0,1,2
5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9225,0,1,3,1,0,0,0,5,3,0,2,0,2,6
5832,0,2,1,0,0,4,0,8,1,0,0,0,1,10
8528,0,0,1,1,1,1,0,8,2,1,1,0,2,9
5830-C12,0,2,1,0,0,0,0,11,3,0,0,0,1,13
5830-C13,0,2,1,0,0,0,0,11,3,0,0,0,1,13
9235-A38,0,1,2,0,1,2,0,6,1,0,1,0,3,10
8531,0,0,0,0,1,1,0,2,0,1,1,0,1,3
9235-A37,0,1,2,0,1,2,0,8,1,0,1,0,3,12
9235-943,0,1,2,0,1,3,0,10,1,0,1,0,3,14
5808,0,0,0,0,0,0,0,3,0,0,0,0,0,3
8882,0,1,1,0,1,2,0,6,0,0,0,0,1,8
5705-B91,0,0,2,0,0,2,0,11,2,0,4,0,5,14
8532-945,2,1,1,1,1,5,0,5,3,0,0,0,3,8
8532-944,1,2,1,1,1,6,0,9,6,0,0,0,4,11
5705-B90,0,0,0,1,0,5,0,11,3,0,3,0,4,15
8883,1,1,1,1,2,4,0,10,0,4,2,0,2,13
8890,0,0,5,1,0,0,0,5,1,0,0,0,2,8
9140,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5833,0,2,0,1,1,1,0,3,0,1,0,0,1,4
9229,0,0,0,0,0,0,0,3,0,0,0,0,0,3
9228,0,0,0,0,0,0,0,3,0,0,0,0,0,3
9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5727,0,0,1,0,1,0,0,7,0,0,0,0,0,7
5726,0,0,2,0,1,0,0,6,0,0,0,0,0,7
9083,0,0,0,0,0,0,0,4,0,0,0,0,1,4
9069,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9263,0,0,0,2,0,0,0,4,0,0,2,0,1,4
