id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
FA/0180,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0184,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0182,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/256,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/205,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0176,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0105,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/6,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/4,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/2,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0106,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/1,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0177,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0139,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0138,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0219,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0220,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/12,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0179,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/15,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0181,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/16,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/13,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/18,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0185,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0183,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/14,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/190,0,0,0,0,0,0,0,0,0,0,0,0,0
60/57/191,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,0,0,0,0,0,0,0,0,0,0,0,0,0
6980/1,0,0,0,0,0,0,0,0,0,0,0,0,0
9615,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0235,0,0,0,0,0,0,0,0,0,0,0,0,0
6498,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0236,0,0,0,0,0,0,0,0,0,0,0,0,0
BF/0005,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0240,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0239,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0238,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0099,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0244,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0242,0,0,0,0,0,0,0,0,0,0,0,0,0
5200,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0241,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0243,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0249,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0248,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0245,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0246,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0247,0,0,0,0,0,0,0,0,0,0,0,0,0
8649/1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0224,0,0,0,0,0,0,0,0,0,0,0,0,0
BF/0001,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0,0
8649/2,0,0,0,0,0,0,0,0,0,0,0,0,0
9612,0,0,0,0,0,0,0,0,0,0,0,0,0
8021/1,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0
8020,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0225,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0232,0,0,0,0,0,0,0,0,0,0,0,0,0
7334,0,0,0,0,0,0,0,0,0,0,0,0,0
2441/1,0,0,0,0,0,0,0,0,0,0,0,0,0
7315/1,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0210/EN,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0228,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0010,0,0,0,0,0,0,0,0,0,0,0,0,0
6543,0,0,0,0,0,0,0,0,0,0,0,0,0
8023,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0226/EN,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0231/EN,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0230,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0026,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0155,0,0,0,0,0,0,0,0,0,0,0,0,0
13202,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0113,0,0,0,0,0,0,0,0,0,0,0,0,0
13205,0,0,0,0,0,0,0,0,0,0,0,0,0
13207,0,0,0,0,0,0,0,0,0,0,0,0,0
13208,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0114,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0119,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0118,0,0,0,0,0,0,0,0,0,0,0,0,0
13211,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0117,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0044,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0115,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0116,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0042,0,0,0,0,0,0,0,0,0,0,0,0,0
FA/0040,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0844,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0542,0,0,0,0,0,0,0,0,0,0,0,0,0
40/336/2,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0798,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0797,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0845,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0440,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0843,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0545,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0757,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0839,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0846,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0847-1,0,0,0,0,0,0,0,0,0,0,0,0,0
40/260/2,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0801-1,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0293,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0312,0,0,0,0,0,0,0,0,0,0,0,0,0
