id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
60/57-1,0,0,0,0,0,0,0,2,0,0,0,0,0,2
60/57-2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
50/22,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50/23-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50/23-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40/40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70/85,1,0,0,0,3,0,0,3,0,0,0,1,3,5
60/67-1,1,0,2,0,0,0,0,3,0,0,0,0,1,3
60/67-2,1,0,3,0,0,0,0,2,1,0,1,0,0,4
1/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/46,0,0,0,0,0,0,0,1,0,0,0,0,1,1
32/16-1,0,0,1,0,0,0,0,1,0,0,0,0,0,2
32/16-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/49,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30/54-1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
30/54-2,0,0,0,0,0,0,0,1,0,0,0,0,1,1
30/48-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/48-2,0,0,0,0,0,0,0,1,0,0,0,0,1,1
20/48,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32/15-1,0,0,0,0,0,0,0,3,0,0,0,0,0,3
32/15-2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
20/46-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/46-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/42-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/42-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/50,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30/36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/35-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/35-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32/19-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32/19-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32/17,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/40-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/40-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/40-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/40-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/39,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/45-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/45-2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
20/45-3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20/45-4,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2/68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
