id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
CHI-LM-46,0,0,0,0,0,0,0,1,1,0,0,0,0,2
CHI-LM-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDS-LM-39,0,0,1,0,0,0,0,2,0,0,0,0,1,2
CHI-LSNT3,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CHI-LSNT1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SDS-L-12,2,0,1,0,0,0,0,1,0,0,0,0,0,3
DIS-LM-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS-LM-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS-LM-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS-LM-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS-LM-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS-L-20,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DIS-L-11,0,0,0,0,0,0,0,2,0,0,0,0,0,2
DSP-LM-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP-LM-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP-LM-62,0,0,1,0,0,0,0,2,0,0,0,0,0,3
DSP-L-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP-L-39-L-40,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GFI-LSNT1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DIS-L-24,0,0,1,0,0,0,0,2,0,0,0,0,0,3
DIS-LM-85,0,0,0,0,0,0,0,2,0,0,0,0,1,2
DSC-L-27,0,0,0,0,2,0,0,0,0,0,0,0,0,2
DSC-LM-54-SC,0,0,2,0,4,0,0,5,9,2,4,1,7,14
DSC-L-27-IND,0,0,3,3,0,0,0,3,3,0,0,1,1,5
BIO-LM-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO-LM-61,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BIO-LM-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIP-LM-74,0,0,0,0,0,0,0,4,2,0,0,0,3,5
DIP-LM-79,0,0,1,0,0,0,0,2,1,0,0,0,1,3
DIP-LM-6-AMBIENTALE,2,0,2,0,0,0,0,18,3,0,0,0,16,20
DIP-LM-6-SANITARIA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MED-LMSNT1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DIP-L-13,0,0,0,0,0,0,0,9,0,0,0,0,3,9
DIP-L-32,0,0,0,0,0,0,0,13,4,0,0,0,6,14
MED-IT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMI-L-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIE-LM-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMI-L-31,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DIE-LM-29,0,0,0,0,1,0,0,0,0,0,0,0,0,1
