id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
B239-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B164-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B163-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B162-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B122-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B218-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B250-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B252-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B115-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B231-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B107-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B242-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B196-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B189-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B073-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B084-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B198-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B056-D92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B056-D93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B111-F039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B111-F038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B074-C35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B074-F01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B074-C81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B074-F03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B074-F02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B106-F042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B106-F040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B106-F041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B106-F043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B055-E38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B055-D48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B055-B90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B097-D50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B097-D88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B097-B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B060-E32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B060-E33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B060-E31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B060-E30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B040-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B004-C09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B004-D42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B004-C80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B200-D86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B200-D85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B219-E35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B219-E34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B219-E36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001-B52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001-B51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001-B55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B087-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B238-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B113-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B206-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B194-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B108-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B234-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B184-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B181-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B180-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B185-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B207-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B226-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B241-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B068-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B063-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B061-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B205-GEN,0,0,0,0,0,0,0,2,0,0,0,0,1,2
B203-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B190-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B220-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B052-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B112-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B188-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B225-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B195-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B042-GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
