id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
2223-1-F8204B026,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B013,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B012,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B006,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B021,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B007,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B005,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B017,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B027,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B028,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B003,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B014,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B023,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B011,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B020,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B025,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B002,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B040,0,0,0,0,0,0,0,1,0,0,0,0,1
2223-2-F8204B016,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B036,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B037,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B041,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B010,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R005,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B015,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R067,0,0,0,0,0,0,0,1,0,0,0,0,0
2223-1-F8501R068,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B018,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R002,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R024,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B024,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B008,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R021,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R069,0,0,0,0,0,0,0,1,0,0,0,0,1
2223-1-F8501R001,0,0,0,0,0,0,0,1,0,0,0,0,0
2223-2-F8501R055,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R056,0,0,0,0,0,0,0,0,0,0,0,0,0
