id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
F8204B,0,0,0,0,0,0,0,1,0,0,0,0,1,1
F8501R,0,0,0,0,0,0,0,4,0,0,0,0,1,4
E1901R,0,0,0,0,0,0,0,1,0,0,0,0,0,1
F9201P,0,0,0,0,0,0,0,1,0,0,1,0,0,2
H4601D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5401Q,0,0,2,2,4,0,0,5,4,2,1,0,5,9
F7401Q,0,0,3,0,0,0,0,7,1,0,2,0,3,9
F7501Q,3,2,9,4,10,1,0,20,13,2,3,2,18,27
F5302Q,0,0,0,0,1,0,0,2,0,0,0,0,2,3
581,0,0,0,0,0,0,0,2,2,0,0,0,2,3
G8501R,0,0,1,0,0,0,0,2,0,0,0,0,0,2
FDS01Q,0,0,0,0,0,0,0,2,0,0,0,0,0,2
F1701Q,0,0,1,1,3,0,0,2,1,0,0,0,3,4
F4001Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4901N,0,1,0,0,1,0,0,8,1,0,0,0,2,8
F0802Q,0,1,0,2,0,0,0,1,1,1,0,0,0,5
F9101Q,0,0,1,0,1,0,0,0,0,0,0,0,0,2
F5802Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F0601Q,0,0,1,0,1,1,0,12,4,0,0,0,5,12
F1801Q,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F6302N,0,0,0,0,0,0,0,0,0,0,1,0,0,1
F7702M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
F5602M,0,0,1,0,0,0,0,0,0,0,0,0,0,1
F1601M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7502Q,0,0,5,0,1,0,0,15,1,0,0,0,4,17
F8203B,0,0,0,0,0,0,0,1,0,0,0,0,0,1
F7601M,0,0,1,1,0,0,0,7,1,0,0,0,1,7
F7701M,0,1,1,1,1,0,0,1,0,0,1,0,1,1
F9102Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8701N,0,0,0,0,0,0,0,2,0,0,0,0,0,2
F5103P,0,0,0,0,0,0,0,2,0,0,0,0,1,2
F5104P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5106P,0,0,0,0,0,0,0,1,0,0,0,0,0,1
H4101D,0,0,0,0,0,0,0,1,2,0,0,0,0,2
F5105P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4102D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5701R,0,0,0,0,0,0,0,2,0,0,0,0,0,2
E2001R,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E3201Q,0,0,2,1,2,0,0,11,4,1,2,0,3,14
E4102B,0,0,0,0,0,0,0,2,0,0,0,0,0,2
F0101R,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E4001N,0,0,1,1,1,0,0,6,0,0,0,0,2,6
E1801M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3301M,0,0,1,0,0,0,0,2,0,0,0,0,0,3
F8802N,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E1802M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1803M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4101B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3901N,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E1501N,0,0,0,0,0,0,0,8,0,1,0,0,2,8
E2702Q,0,0,0,0,0,0,0,1,1,0,0,0,1,2
E3401Q,0,1,1,0,0,0,0,5,1,0,0,0,0,5
E2701Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1601N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E311PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3501Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3001Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0201Q,0,0,0,1,1,0,0,3,0,0,0,1,0,3
E1301Q,0,1,0,0,1,0,0,4,2,0,1,0,2,4
E3002Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1401A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0202D,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E3101Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSG01A,0,0,0,0,0,0,0,1,1,0,0,0,1,1
I0303D,0,0,0,0,0,0,0,1,1,0,0,0,0,1
I0101D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0201D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2401P,0,0,1,0,0,0,0,1,0,0,0,0,0,2
E2004P,0,0,0,0,0,0,0,1,0,0,0,0,0,1
I0301D,0,0,0,0,0,0,0,1,1,0,0,0,0,1
I0302D,0,0,0,0,0,0,0,1,1,0,0,0,0,1
I0102D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K0101D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F0901D,0,0,0,1,0,0,0,0,0,0,0,0,0,1
