id,climate,energy,environment,resources,sustainability,dedicated
011BB,0,0,0,0,0,0
166II,0,0,0,0,0,0
760II,0,0,0,0,0,0
722II,0,0,0,0,0,0
186II,0,0,0,0,0,0
167AA,0,0,0,0,0,0
165II,0,0,0,0,0,0
450AA,0,0,0,0,0,0
164AA,0,0,0,0,0,0
448AA,0,0,0,0,0,0
980II,0,0,0,0,0,0
176II,0,0,0,0,0,0
174II,0,0,0,0,0,0
004AA,0,0,0,0,0,0
287ZZ,0,0,0,0,0,0
1069I,0,0,0,0,0,0
188II,0,0,0,0,0,0
339CC,0,0,0,0,0,0
066BB,0,0,0,0,0,0
621AA,0,0,0,0,0,0
044HH,0,0,0,0,0,0
1068I,0,0,0,0,0,0
167II,0,0,0,0,0,0
981II,0,0,0,0,0,0
656MM,0,0,0,0,0,0
462LL,0,0,0,0,0,0
337ZW,0,0,0,0,0,0
003LI,0,0,0,0,0,0
105QQ,0,0,0,0,0,0
461LL,0,0,0,0,0,0
613PP,0,0,0,0,0,0
294QQ,0,0,0,0,0,0
086NN,0,0,0,0,0,0
336ZW,0,0,0,0,0,0
1347L,0,0,0,0,0,0
002QM,0,0,0,0,0,0
463LL,0,0,0,0,0,0
460LL,0,0,0,0,0,0
548MM,0,0,0,0,0,0
1348L,0,0,0,0,0,0
185PP,0,0,0,0,0,0
500NN,0,0,0,0,0,0
001QM,0,0,0,0,0,0
608PP,0,0,0,0,0,0
657MM,0,0,0,0,0,0
614PP,0,0,0,0,0,0
615PP,0,0,0,0,0,0
843II,0,0,0,0,0,0
1125I,0,0,0,0,0,0
263ZZ,0,0,0,0,0,0
845II,0,0,0,0,0,0
844II,0,0,0,0,0,0
841II,0,0,0,0,0,0
003II,0,0,0,0,0,0
674II,0,0,0,0,0,0
840II,0,0,0,0,0,0
141EE,0,0,0,0,0,0
008II,0,0,0,0,0,0
052II,0,0,0,0,0,0
577ZW,0,0,0,0,0,0
047BB,0,0,0,0,0,0
093II,0,0,0,0,0,0
471II,0,0,0,0,0,0
130PP,0,0,0,0,0,0
724II,0,0,0,0,0,0
442AA,0,0,0,0,0,0
140EE,0,0,0,0,0,0
842II,0,0,0,0,0,0
519AA,0,0,0,0,0,0
1695Z,0,0,0,0,0,0
613II,0,0,0,0,0,0
723II,0,0,0,0,0,0
480II,0,0,0,0,0,0
538MM,0,0,0,0,0,0
1698Z,0,0,0,0,0,0
530MM,0,0,0,0,0,0
544MM,0,0,0,0,0,0
1688Z,0,0,0,0,0,0
534MM,0,0,0,0,0,0
1691Z,0,0,0,0,0,0
540MM,0,0,0,0,0,0
535MM,0,0,0,0,0,0
1696Z,0,0,0,0,0,0
539MM,0,0,0,0,0,0
536MM,0,0,0,0,0,0
1692Z,0,0,0,0,0,0
1690Z,0,0,0,0,0,0
1217L,0,0,0,0,0,0
001BC,0,0,0,0,0,0
533MM,0,0,0,0,0,0
1694Z,0,0,0,0,0,0
1214L,0,0,0,0,0,0
1215L,0,0,0,0,0,0
472EE,0,0,0,0,0,0
339FF,0,0,0,0,0,0
1693Z,0,0,0,0,0,0
542MM,0,0,0,0,0,0
531MM,0,0,0,0,0,0
683AA,0,0,0,0,0,0
543MM,0,0,0,0,0,0
1686Z,0,0,0,0,0,0
1687Z,0,0,0,0,0,0
532MM,0,0,0,0,0,0
1689Z,0,0,0,0,0,0
537MM,0,0,0,0,0,0
1697Z,0,0,0,0,0,0
1218L,0,0,0,0,0,0
427EE,0,0,0,0,0,0
1216L,0,0,0,0,0,0
684AA,0,0,0,0,0,0
541MM,0,0,0,0,0,0
420EE,0,0,0,0,0,0
1985Z,0,0,0,0,0,0
418EE,0,0,0,0,0,0
417EE,0,0,0,0,0,0
518EE,0,0,0,0,0,0
425EE,0,0,0,0,0,0
1984Z,0,0,0,0,0,0
623AA,0,0,0,0,0,0
415EE,0,0,0,0,0,0
512EE,0,0,0,0,0,0
422EE,0,0,0,0,0,0
1539Z,0,0,0,0,0,0
421EE,0,0,0,0,0,0
423EE,0,0,0,0,0,0
414EE,0,0,0,0,0,0
480EE,0,0,0,0,0,0
494EE,0,0,0,0,0,0
419EE,0,0,0,0,0,0
467MM,0,0,0,0,0,0
971LL,0,0,0,0,0,0
743AA,0,0,0,0,0,0
689MM,0,0,0,0,0,0
284LL,0,0,0,0,0,0
296LL,0,0,0,0,0,0
367NN,0,0,0,0,0,0
340LL,0,0,0,0,0,0
1634Z,0,0,0,0,0,0
105LL,0,0,0,0,0,0
240QQ,0,0,0,0,0,0
072MM,0,0,0,0,0,0
138NN,0,0,0,0,0,0
484EE,0,0,0,0,0,0
301MM,0,0,0,0,0,0
297LL,0,0,0,0,0,0
352ZW,0,0,0,0,0,0
620AA,0,0,0,0,0,0
333FF,0,0,0,0,0,0
778ZW,0,0,0,0,0,0
693ZW,0,0,0,0,0,0
238QQ,0,0,0,0,0,0
159PP,0,0,0,0,0,0
239QQ,0,0,0,0,0,0
499NN,0,0,0,0,0,0
398PP,0,0,0,0,0,0
237QQ,0,0,0,0,0,0
376MM,0,0,0,0,0,0
254LL,0,0,0,0,0,0
222NN,0,0,0,0,0,0
342LL,0,0,0,0,0,0
134NN,0,0,0,0,0,0
048PP,0,0,0,0,0,0
877ZW,0,0,0,0,0,0
001ME,0,0,0,0,0,0
210ZW,0,0,0,0,0,0
310PP,0,0,0,0,0,0
488AA,0,0,0,0,0,0
968LL,0,0,0,0,0,0
043PP,0,0,0,0,0,0
311LL,0,0,0,0,0,0
570ZW,0,0,0,0,0,0
253EE,0,0,0,0,0,0
079MM,0,0,0,0,0,0
