id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
10280,0,0,0,0,0,0,0,0,1,0,0,1,0,2
10509,0,0,0,0,0,0,0,6,0,0,0,1,0,6
10559,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11179,0,0,1,0,0,0,0,2,1,0,0,0,0,3
11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10588,0,0,0,0,2,0,0,4,0,0,0,0,1,4
10432,0,0,0,0,0,0,0,16,1,0,0,0,1,16
10461,3,2,7,0,1,0,0,17,6,0,3,0,3,22
10434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10554,1,2,15,1,3,1,0,37,24,0,2,1,28,48
11357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10436,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10553,0,0,0,0,2,0,0,3,3,1,1,0,1,4
10529,0,0,1,0,0,0,0,3,0,0,0,0,0,3
10449,1,0,1,0,0,0,0,6,0,0,0,0,1,6
10782,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10450,0,0,0,0,1,0,0,2,0,0,0,0,0,2
10440,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10438,0,0,0,0,0,0,0,7,3,0,0,0,2,8
10464,0,0,3,0,0,0,0,17,2,0,0,0,7,18
10439,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10545,0,0,0,1,0,0,0,3,0,0,0,0,0,4
11130,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10979,0,0,0,0,0,0,0,2,0,0,0,0,1,2
10547,0,0,0,0,2,0,0,7,2,0,0,0,1,8
10551,0,0,2,0,1,0,0,7,2,0,0,0,4,7
11180,0,0,0,0,0,0,0,1,1,0,0,0,1,1
10533,0,0,0,0,0,0,0,3,1,0,0,0,1,3
10531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10546,0,0,3,0,2,0,0,4,2,0,0,0,4,5
10452,0,0,1,0,0,0,0,1,0,0,2,0,0,3
10651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10536,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10617,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10548,0,0,0,0,0,0,0,2,0,0,0,0,1,2
10655,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11290,0,0,0,0,0,0,0,1,1,0,1,0,0,2
10442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11131,0,0,0,0,0,0,0,2,0,0,0,0,2,2
10277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10971,0,0,0,0,0,2,0,3,2,0,0,0,0,4
10541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10523,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10621,0,0,0,0,1,0,0,2,3,0,0,0,0,4
11226,0,0,0,0,0,0,0,1,2,0,0,0,1,2
11138,2,0,0,0,3,0,0,3,2,0,0,0,3,5
10532,1,0,0,0,4,0,0,1,2,0,0,1,4,7
10528,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10534,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10552,0,0,0,0,4,0,0,1,1,0,0,5,2,8
10512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10525,0,0,0,0,1,0,0,1,0,0,0,0,0,2
10520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10540,0,0,0,0,0,0,0,0,1,0,0,1,0,2
10519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11139,0,0,1,0,3,0,0,6,4,0,1,1,3,7
10654,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11047,0,0,0,1,1,0,0,3,4,1,3,2,0,6
10970,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10976,0,0,3,0,2,1,0,5,2,0,0,0,4,8
11182,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10543,0,0,0,0,0,0,0,1,1,0,0,0,0,2
10524,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11292,0,1,2,0,0,2,0,6,0,0,0,0,3,7
10443,1,0,1,2,0,1,0,8,1,3,0,0,4,10
10516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10426,1,0,1,0,0,5,0,16,4,0,0,0,8,17
10558,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11358,1,0,3,0,1,10,0,12,2,1,1,0,11,19
