id,climate,energy,environment,resources,sustainability,dedicated
1020914,0,0,0,0,0,0
1025199,0,0,0,0,0,0
10589618,0,0,0,0,0,0
10589890,0,0,0,0,0,0
10606399,0,0,0,0,0,0
10589603-fdd,0,0,0,0,0,0
10606937,0,0,0,0,0,0
10589603-36c,0,0,0,0,0,0
1052021,0,0,0,0,0,0
1044646,0,0,0,0,0,0
97756,0,0,0,0,0,0
10589953,0,0,0,0,0,0
1024002,0,0,0,0,0,0
1023473,0,0,0,0,0,0
1055548,0,0,0,0,0,0
1044645,0,0,0,0,0,0
1023090,0,0,0,0,0,0
1049665,0,0,0,0,0,0
1044673,0,0,0,0,0,0
1024005,0,0,0,0,0,0
1036176,0,0,0,0,0,0
1025504,0,0,0,0,0,0
1024950,0,0,0,0,0,0
99710,0,0,0,0,0,0
1036187,0,0,0,0,0,0
1024915,0,0,0,0,0,0
1026713,0,0,0,0,0,0
1026918,0,0,0,0,0,0
1025531,0,0,0,0,0,0
1049664,0,0,0,0,0,0
1018099,0,0,0,0,0,0
1025297,0,0,0,0,0,0
1026856,0,0,0,0,0,0
1042076,0,0,0,0,0,0
1044644,0,0,0,0,0,0
10596541,0,0,0,0,0,0
1052049,0,0,0,0,0,0
10606400,0,0,0,0,0,0
1044802,0,0,0,0,0,0
AAF1016,0,0,0,0,0,0
AAF1160,0,0,0,0,0,0
AAF1172,0,0,0,0,0,0
AAF1040,0,0,0,0,0,0
1025369,0,0,0,0,0,0
10595099-eb6,0,0,0,0,0,0
10595546-236,0,0,0,0,0,0
10595524,0,0,0,0,0,0
10595102-1f1,0,0,0,0,0,0
10595102-307,0,0,0,0,0,0
1049269,0,0,0,0,0,0
10595099-9bf,0,0,0,0,0,0
10595546-e75,0,0,0,0,0,0
10595523,0,0,0,0,0,0
10600241,0,0,0,0,0,0
10595529,0,0,0,0,0,0
10595617-2e0,0,0,0,0,0,0
10595525,0,0,0,0,0,0
10595616-86f,0,0,0,0,0,0
10595616-09e,0,0,0,0,0,0
10595618-e07,0,0,0,0,0,0
10595618-81b,0,0,0,0,0,0
10595610,0,0,0,0,0,0
10595617-bd9,0,0,0,0,0,0
1055043,0,0,0,0,0,0
10595530,0,0,0,0,0,0
10595532,0,0,0,0,0,0
10595531,0,0,0,0,0,0
10595534,0,0,0,0,0,0
10595535,0,0,0,0,0,0
10595533,0,0,0,0,0,0
10595536,0,0,0,0,0,0
10595537,0,0,0,0,0,0
AAF1466,0,0,0,0,0,0
AAF2011,0,0,0,0,0,0
10599896,0,0,0,0,0,0
10600393,0,0,0,0,0,0
1022891,0,0,0,0,0,0
1044417,0,0,0,0,0,0
AAF2141,0,0,0,0,0,0
1038133,0,0,0,0,0,0
1052222,0,0,0,0,0,0
1052218,0,0,0,0,0,0
1027171,0,0,0,0,0,0
1022870,0,0,0,0,0,0
1023235,0,0,0,0,0,0
10599898,0,0,0,0,0,0
1022797,0,0,0,0,0,0
1038134,0,0,0,0,0,0
10606829,0,0,0,0,0,0
1044398,0,0,0,0,0,0
1023325,0,0,0,0,0,0
10606830,0,0,0,0,0,0
10606869,0,0,0,0,0,0
1041411,0,0,0,0,0,0
10600453,0,0,0,0,0,0
1047220,0,0,0,0,0,0
1052058,0,0,0,0,0,0
10606936,0,0,0,0,0,0
1044415,0,0,0,0,0,0
1038138,0,0,0,0,0,0
1041706,0,0,0,0,0,0
1044406,0,0,0,0,0,0
10600447,0,0,0,0,0,0
10589744,0,0,0,0,0,0
1055061,0,0,0,0,0,0
10596250,0,0,0,0,0,0
1052057,0,0,0,0,0,0
1044408,0,0,0,0,0,0
10600449,0,0,0,0,0,0
1047598,0,0,0,0,0,0
1054962,0,0,0,0,0,0
AAF1028,0,0,0,0,0,0
1038116,0,0,0,0,0,0
1017240,0,0,0,0,0,0
1017274,0,0,0,0,0,0
10592581,0,0,0,0,0,0
1038118,0,0,0,0,0,0
10596237,0,0,0,0,0,0
1027102,0,0,0,0,0,0
10592583,0,0,0,0,0,0
1035666,0,0,0,0,0,0
1038238,0,0,0,0,0,0
10592587,0,0,0,0,0,0
10592712,0,0,0,0,0,0
10592589,0,0,0,0,0,0
10592590,0,0,0,0,0,0
10592582,0,0,0,0,0,0
10592584,0,0,0,0,0,0
10592585,0,0,0,0,0,0
10592713,0,0,0,0,0,0
10592591,0,0,0,0,0,0
AAF1149,0,0,0,0,0,0
1017593,0,0,0,0,0,0
1026559,0,0,0,0,0,0
10596360,0,0,0,0,0,0
AAF2157,0,0,0,0,0,0
1031400,0,0,0,0,0,0
1044379,0,0,0,0,0,0
10600091,0,0,0,0,0,0
1026535,0,0,0,0,0,0
1016857,0,0,0,0,0,0
10596362,0,0,0,0,0,0
1051852,0,0,0,0,0,0
1038332,0,0,0,0,0,0
AAF2291,0,0,0,0,0,0
AAF2258,0,0,0,0,0,0
AAF2257,0,0,0,0,0,0
1051803,0,0,0,0,0,0
10600050,0,0,0,0,0,0
1051804,0,0,0,0,0,0
1017228,0,0,0,0,0,0
1055979,0,0,0,0,0,0
1018036,0,0,0,0,0,0
1051799,0,0,0,0,0,0
AAF1019,0,0,0,0,0,0
1049427,0,0,0,0,0,0
1049387,0,0,0,0,0,0
1041826,0,0,0,0,0,0
1041825,0,0,0,0,0,0
10607343-abe,0,0,0,0,0,0
10607343-7de,0,0,0,0,0,0
10607343-17c,0,0,0,0,0,0
10607343-eb1,0,0,0,0,0,0
