id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
05124,0,0,1,1,0,0,0,2,3,0,0,0,1,5
06123,1,0,0,0,2,0,0,1,0,0,0,2,1,3
06127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06126,1,0,0,0,1,0,0,1,1,0,0,0,2,3
06124,0,0,0,0,0,0,0,0,0,0,0,1,0,1
06128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06125,0,0,1,0,0,0,0,4,3,0,1,0,3,5
06121,0,0,0,0,1,0,0,1,1,0,2,0,1,3
10602,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10601,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44610,0,0,0,0,0,0,0,2,1,0,0,0,2,3
06601,0,0,0,0,0,0,0,2,0,0,0,0,0,2
01601,0,0,1,0,0,0,0,2,2,0,0,0,2,3
07601,0,0,0,0,1,0,0,1,4,0,0,0,1,6
07602,0,0,0,0,0,0,0,2,1,0,0,0,0,3
03224,0,0,0,0,0,0,0,1,0,0,0,0,0,1
03229,0,0,1,1,1,0,0,5,2,0,0,0,4,5
06230,2,0,0,0,2,0,0,1,2,0,1,0,2,3
02224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44221,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44222,0,0,0,0,0,0,0,2,0,0,0,0,0,2
44224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05224,1,0,1,1,0,0,0,7,6,0,0,0,8,9
44225,0,0,0,0,0,0,0,2,0,0,1,0,0,3
12226,1,0,0,0,0,0,0,2,1,0,0,0,1,3
05222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12228,0,0,0,0,0,0,0,3,0,0,0,0,1,3
03240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07222,0,0,1,0,1,3,0,9,1,1,0,0,3,12
06225,0,0,1,2,4,0,0,9,4,0,2,2,5,11
06223,0,0,0,0,3,0,0,2,3,0,0,1,4,7
06227,0,0,0,0,1,0,0,1,0,0,0,0,1,2
06226,0,0,0,1,0,0,0,2,1,0,1,0,1,2
06224,0,0,0,0,3,0,0,2,0,0,0,1,2,5
06221,0,0,0,0,0,0,0,3,1,0,0,2,2,5
06222,0,0,0,1,1,0,0,3,5,0,1,1,4,7
06232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12225,0,0,0,0,1,0,0,0,2,0,0,0,0,3
03220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06228,0,0,0,0,0,0,0,1,2,0,1,1,0,4
05226,0,0,0,1,1,0,0,0,1,0,0,0,2,2
03226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03222,0,0,0,0,0,0,0,1,0,0,0,0,0,1
03221,0,0,0,0,0,0,0,2,0,0,0,0,0,2
02231,0,0,0,1,0,0,0,1,0,0,0,0,1,1
02222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02221,0,0,0,0,1,0,0,0,0,0,0,0,1,1
05223,0,1,0,0,2,0,0,3,0,1,0,1,2,4
05221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07121,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03123,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12121,0,0,1,0,0,0,0,2,0,0,0,0,1,3
05129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44125,0,0,0,0,0,0,0,1,1,0,0,0,1,2
03122,0,0,0,1,0,0,0,0,0,0,0,0,1,1
44124,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02129,0,0,0,0,0,0,0,3,0,0,0,0,0,3
